Date,Installations,Daily_Increase,Growth_Rate
2024-12-06,1020000,0,0.0%
2025-01-10,2000000,0,0.0%
2025-05-05,4000000,0,0.0%
2025-06-01,5120000,0,0.0%
2025-06-15,5850000,0,0.0%
2025-06-29,7060000,0,0.0%
2025-07-02,7290000,0,0.0%
2025-07-10,7810000,0,0.0%
2025-07-17,8480000,0,0.0%
2025-09-04,15162700,0,0.0%
2025-09-05,15267500,104800,+0.7%
2025-09-06,15375800,108300,+0.7%
2025-09-07,15488900,113100,+0.7%
2025-09-08,15624900,135900,+0.9%
2025-09-10,15877400,252600,+1.6%
2025-09-11,16095400,110600,+0.7%
2025-09-12,16213900,118500,+0.7%
2025-09-13,16374500,160600,+1.0%
2025-09-14,16565600,191100,+1.2%
2025-09-16,16747600,181900,+1.1%
2025-09-17,17112500,188900,+1.1%
2025-09-18,17308300,195900,+1.1%
2025-09-19,17501900,193600,+1.1%
